initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
NE,22,M,5.51828341599321,kaenguru,1,2,3
NE,22,M,1.9213282910059206,hund,1,2,3
NE,22,M,3.2937426670105197,elefantcat,1,2,3
NE,22,M,5.18889662498259,loeve,1,2,3
NE,22,M,3.2106016670004465,antilope,1,2,3
NE,22,M,2.400462999998126,hest,1,2,3
NE,22,M,1.9659809579898138,gris,1,2,3
NE,22,M,2.3997798330092337,faar,1,2,3
NE,22,M,4.17130829198868,pindsvin,1,2,3
NE,22,M,5.944508125016,haj,1,2,3
NE,22,M,1.6215773749863729,fisk,1,2,3
NE,22,M,1.1937833330011927,torsk,1,2,3
NE,22,M,2.467102166992845,slange,1,2,3
NE,22,M,2.554588333994616,pyton,1,2,3
NE,22,M,2.827263916027732,anakonda,1,2,3
NE,22,M,3.1555436670023482,myre,1,2,3
NE,22,M,4.394362499995623,graevling,1,2,3
